username,repo_name,stars,repo_url
jwasham,coding-interview-university,300000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,186000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,182000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,174000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,114000,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,89200,https://github.com/krahets/hello-algo
kdn251,interviews,62900,https://github.com/kdn251/interviews
TheAlgorithms,Java,57800,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,54200,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,49300,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46500,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,33900,https://github.com/huihut/interview
halfrost,LeetCode-Go,32500,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,31900,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,29700,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,29200,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/crossoverJie/JCSprout
keon,algorithms,23800,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,23000,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,22800,https://github.com/trekhleb/homemade-machine-learning
