username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,111000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,95300,https://github.com/angular/angular
storybookjs,storybook,83600,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,62700,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,50700,https://github.com/ionic-team/ionic-framework
prettier,prettier,48800,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,41900,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,34800,https://github.com/SheetJS/sheetjs
angular,angular-cli,26700,https://github.com/angular/angular-cli
angular,components,24200,https://github.com/angular/components
NativeScript,NativeScript,23900,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,23800,https://github.com/goldbergyoni/javascript-testing-best-practices
wailsapp,wails,23600,https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,23000,https://github.com/sudheerj/javascript-interview-questions
nrwl,nx,22700,https://github.com/nrwl/nx
jhipster,generator-jhipster,21400,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,21000,https://github.com/pubkey/rxdb
paperless-ngx,paperless-ngx,18300,https://github.com/paperless-ngx/paperless-ngx
teambit,bit,17700,https://github.com/teambit/bit
sweetalert2,sweetalert2,17100,https://github.com/sweetalert2/sweetalert2
