username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,151000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,77900,https://github.com/nvm-sh/nvm
junegunn,fzf,62500,https://github.com/junegunn/fzf
starship,starship,43300,https://github.com/starship/starship
google,zx,42400,https://github.com/google/zx
LeCoupa,awesome-cheatsheets,38700,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,37800,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36300,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,35700,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,32000,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,30400,https://github.com/jaywcjlove/linux-command
mathiasbynens,dotfiles,30100,https://github.com/mathiasbynens/dotfiles
withfig,autocomplete,24400,https://github.com/withfig/autocomplete
kingToolbox,WindTerm,21800,https://github.com/kingToolbox/WindTerm
dylanaraps,neofetch,21700,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,21200,https://github.com/asdf-vm/asdf
ajeetdsouza,zoxide,20700,https://github.com/ajeetdsouza/zoxide
warpdotdev,Warp,20400,https://github.com/warpdotdev/Warp
atuinsh,atuin,19200,https://github.com/atuinsh/atuin
Nyr,openvpn-install,18700,https://github.com/Nyr/openvpn-install
