username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,185000,https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,174000,https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,57400,https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,54200,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,49300,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,43900,https://github.com/x64dbg/x64dbg
WerWolv,ImHex,41500,https://github.com/WerWolv/ImHex
Light-City,CPlusPlusThings,38200,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,35600,https://github.com/ClickHouse/ClickHouse
huihut,interview,33900,https://github.com/huihut/interview
carbon-language,carbon-lang,32299,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,30500,https://github.com/CMU-Perceptual-Computing-Lab/openpose
doocs,leetcode,30000,https://github.com/doocs/leetcode
TheAlgorithms,C-Plus-Plus,29700,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,calculator,29300,https://github.com/microsoft/calculator
aseprite,aseprite,27900,https://github.com/aseprite/aseprite
dragonflydb,dragonfly,24800,https://github.com/dragonflydb/dragonfly
changkun,modern-cpp-tutorial,23600,https://github.com/changkun/modern-cpp-tutorial
gabime,spdlog,23100,https://github.com/gabime/spdlog
ethereum,solidity,22800,https://github.com/ethereum/solidity
