username,repo_name,stars,repo_url
Genymobile,scrcpy,106000,https://github.com/Genymobile/scrcpy
neovim,neovim,80300,https://github.com/neovim/neovim
obsproject,obs-studio,57800,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,57400,https://github.com/fffaraz/awesome-cpp
git,git,51200,https://github.com/git/git
FFmpeg,FFmpeg,44000,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,40500,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,35700,https://github.com/vim/vim
curl,curl,34900,https://github.com/curl/curl
huihut,interview,33900,https://github.com/huihut/interview
mpv-player,mpv,26900,https://github.com/mpv-player/mpv
ggreer,the_silver_searcher,25900,https://github.com/ggreer/the_silver_searcher
ossrs,srs,24900,https://github.com/ossrs/srs
kovidgoyal,kitty,22900,https://github.com/kovidgoyal/kitty
google,flatbuffers,22600,https://github.com/google/flatbuffers
microsoft,vcpkg,22400,https://github.com/microsoft/vcpkg
ruby,ruby,21800,https://github.com/ruby/ruby
raysan5,raylib,20700,https://github.com/raysan5/raylib
hashcat,hashcat,20500,https://github.com/hashcat/hashcat
radareorg,radare2,20100,https://github.com/radareorg/radare2
